Rk;Player;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Column1;OWS;DWS;WS;WS/48;2;OBPM;DBPM;BPM;VORP
436;Domantas Sabonis;PF;23;IND;62;2159;207;.586;.079;.349;97;293;196;217;11;12;148;233;;41;34;75;.168;;20;12;32;29
437;Luka Šamanić;PF;20;SAS;3;48;88;.450;.500;.250;22;202;112;163;0;37;101;178;;0;0;0;.011;;-24;-17;-41;0
438;JaKarr Sampson;PF;26;IND;34;471;126;.615;.113;.235;47;157;102;61;16;22;106;132;;6;7;12;.124;;-28;14;-14;1
439;Dario Šarić;PF;25;PHO;66;1632;142;.592;.437;.238;67;211;138;108;11;9;129;178;;21;15;36;.105;;-1;-3;-4;7
440;Tomáš Satoranský;SG;28;CHI;65;1878;135;.533;.361;.220;43;110;75;271;21;4;177;167;;18;17;35;.090;;-11;-2;-13;3
441;Admiral Schofield;PF;22;WAS;33;368;61;.502;.663;.163;20;124;70;53;10;9;66;119;;1;1;1;.017;;-43;-12;-55;-3
442;Dennis Schröder;SG;26;OKC;65;1999;167;.575;.337;.245;11;116;65;219;11;6;134;272;;19;18;36;.087;;11;-11;0;10
443;Mike Scott;PF;31;PHI;68;1207;112;.557;.620;.106;59;168;113;64;8;4;66;140;;14;11;25;.100;;-7;-11;-18;1
444;Thabo Sefolosha;PF;35;HOU;41;436;94;.487;.593;.088;50;175;112;75;25;24;137;104;;0;6;7;.072;;-29;16;-12;1
445;Collin Sexton;PG;21;CLE;65;2143;163;.560;.235;.246;31;75;53;151;15;3;116;272;;21;4;25;.057;;3;-21;-18;1
446;Landry Shamet;SG;22;LAC;53;1452;85;.580;.757;.194;4;66;36;91;7;6;90;134;;15;11;26;.086;;-18;-3;-21;0
447;Marial Shayok;SG;24;PHI;4;28;14;.400;.500;.333;39;237;138;48;0;30;179;258;;-1;0;-1;-0.130;;-93;-37;-130;-1
448;Iman Shumpert;SF;29;BRK;13;241;53;.403;.516;.109;39;105;73;67;24;7;130;134;;-3;3;0;-0.005;;-63;8;-55;-2
449;Pascal Siakam;PF;25;TOR;60;2110;179;.554;.331;.274;33;183;110;164;14;25;107;281;;18;36;54;.123;;13;5;18;20
450;Chris Silva;PF;23;MIA;44;346;173;.651;.038;.705;202;206;204;99;13;60;238;171;;7;5;13;.178;;-31;8;-23;0
451;Ben Simmons;PG;23;PHI;57;2017;204;.602;.011;.461;62;182;122;338;29;14;204;209;;38;31;69;.165;;13;23;36;28
452;Anfernee Simons;SG;20;POR;70;1449;90;.502;.422;.172;18;91;55;92;9;6;96;187;;0;1;2;.005;;-26;-19;-45;-9
