Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
176;Rudy Gobert;C;27;UTA;68;68;2333;60;86;.693;0;0;;60;86;.693;39;62;.630;35;106;141;16;8;21;20;33;158
177;Brandon Goodwin;PG;24;ATL;34;1;430;64;159;.400;22;73;.299;42;86;.485;23;25;.933;9;51;60;43;10;3;24;36;172
178;Aaron Gordon;PF;24;ORL;62;62;2017;60;137;.437;13;42;.308;47;95;.494;27;40;.674;19;66;85;41;9;7;18;22;160
179;Eric Gordon;SF;31;HOU;36;15;1016;61;164;.369;34;107;.317;27;57;.469;29;38;.766;3;22;25;19;8;5;15;25;184
180;Devonte' Graham;PG;24;CHO;63;53;2211;60;157;.382;35;95;.373;24;62;.397;31;38;.820;7;28;35;77;10;2;29;19;186
181;Treveon Graham;SF;26;TOT;55;20;929;34;94;.360;13;47;.275;21;47;.443;14;22;.643;20;38;58;17;9;2;11;40;94
181;Treveon Graham;SF;26;MIN;33;20;663;34;95;.354;11;45;.241;23;50;.457;15;20;.730;16;39;54;16;9;1;10;36;93
181;Treveon Graham;SF;26;ATL;22;0;266;34;91;.373;18;50;.351;16;41;.400;12;26;.474;30;38;68;20;9;5;14;49;97
182;Jerami Grant;PF;25;DEN;71;24;1892;58;121;.478;19;48;.389;39;73;.537;28;37;.750;11;36;47;17;10;11;12;29;162
183;Jerian Grant;SG;27;WAS;6;0;80;45;122;.370;9;36;.250;36;86;.421;23;32;.714;9;18;27;41;5;5;14;50;122
184;Josh Gray;PG;26;NOP;2;0;23;16;31;.500;0;0;;16;31;.500;0;0;;16;16;31;31;0;0;78;16;31
185;Danny Green;SG;32;LAL;68;68;1687;42;101;.416;26;70;.367;16;31;.524;7;10;.688;11;37;48;19;18;7;13;29;117
186;Draymond Green;PF;29;GSW;43;43;1222;36;93;.389;11;38;.279;26;55;.465;19;24;.759;7;72;78;78;17;10;29;32;102
187;JaMychal Green;PF;29;LAC;63;1;1307;42;97;.429;25;66;.387;16;31;.518;10;13;.750;21;86;107;13;8;7;15;48;118
188;Javonte Green;SG;26;BOS;48;2;468;48;97;.500;7;25;.273;42;72;.581;22;32;.667;18;53;72;20;18;6;18;33;125
189;Jeff Green;PF-C;33;TOT;48;4;960;60;129;.462;23;69;.339;36;60;.602;27;34;.802;9;41;50;19;10;7;16;33;170
189;Jeff Green;PF;33;UTA;30;2;553;49;127;.385;22;68;.327;27;59;.451;32;41;.778;9;44;53;13;8;7;18;30;152
189;Jeff Green;C;33;HOU;18;2;407;74;132;.564;25;70;.354;50;62;.800;21;25;.857;9;37;46;27;12;8;13;38;195
190;Blake Griffin;PF;30;DET;18;18;512;62;176;.352;19;78;.243;43;98;.439;53;69;.776;12;47;59;41;5;5;28;19;196
191;Marko Guduric;SG;24;MEM;44;0;484;46;117;.395;19;62;.301;28;55;.500;18;19;.923;10;44;54;33;9;6;27;25;129
192;Kyle Guy;SG;22;SAC;3;0;10;72;180;.400;0;108;.000;72;72;1.000;0;0;;0;36;36;36;0;0;0;36;144
193;Rui Hachimura;PF;21;WAS;48;48;1444;63;136;.466;6;22;.287;57;114;.500;29;35;.829;19;54;73;22;9;2;13;26;162
194;Devon Hall;PG;24;OKC;11;0;81;27;133;.200;18;76;.235;9;58;.154;18;36;.500;9;22;31;58;18;4;22;27;89
195;Donta Hall;C-PF;22;TOT;9;0;133;41;60;.682;0;0;;41;60;.682;24;49;.500;38;65;103;11;8;16;14;62;106
195;Donta Hall;PF;22;DET;4;0;48;7;30;.250;0;0;;7;30;.250;30;45;.667;45;68;113;15;7;7;15;68;45
195;Donta Hall;C;22;BRK;5;0;85;59;76;.778;0;0;;59;76;.778;21;51;.417;34;64;97;8;8;21;13;59;140
196;Dusty Hannahs;SG;26;MEM;2;0;13;111;249;.444;55;83;.667;55;166;.333;55;55;1.000;0;28;28;0;0;0;0;28;332
197;Tim Hardaway Jr.;SG;27;DAL;71;58;2091;66;152;.434;35;88;.398;31;64;.485;26;31;.819;4;36;40;24;7;1;12;22;193
198;James Harden;SG;30;HOU;68;68;2483;97;220;.444;43;122;.355;54;97;.556;100;116;.865;10;55;65;74;18;9;45;33;339
199;Maurice Harkless;PF-SF;26;TOT;62;48;1427;36;71;.502;9;25;.347;27;47;.584;10;17;.591;14;47;61;17;15;8;13;37;90
199;Maurice Harkless;PF;26;LAC;50;38;1141;35;68;.516;9;23;.370;27;45;.590;8;13;.571;15;48;63;15;15;9;15;38;87
199;Maurice Harkless;SF;26;NYK;12;10;286;38;83;.455;9;31;.280;29;52;.561;19;30;.625;10;40;50;25;11;4;9;35;103
200;Jared Harper;PG;22;PHO;3;0;8;45;180;.250;0;90;.000;45;90;.500;0;0;;0;0;0;0;0;0;0;0;90
201;Montrezl Harrell;C;26;LAC;63;2;1749;97;167;.580;0;4;.000;97;163;.593;48;72;.658;34;58;92;22;8;15;22;30;241
202;Gary Harris;SG;25;DEN;56;55;1780;44;105;.420;14;42;.333;30;62;.479;15;19;.815;5;28;33;24;15;3;12;23;118
203;Joe Harris;SF;28;BRK;69;69;2123;65;133;.486;29;69;.424;35;64;.553;11;15;.719;11;40;51;24;7;3;18;27;169
204;Tobias Harris;PF;27;PHI;72;72;2469;81;171;.471;19;52;.367;62;119;.517;25;31;.806;10;62;72;33;8;6;15;24;206
205;Shaquille Harrison;SG;26;CHI;43;10;484;57;123;.467;12;31;.381;45;91;.496;29;37;.780;16;48;64;36;25;14;14;41;155
206;Josh Hart;SF;24;NOP;65;16;1755;46;109;.423;25;73;.342;21;37;.584;17;24;.739;13;75;87;22;13;5;15;33;135
207;Isaiah Hartenstein;C;21;HOU;23;2;266;60;91;.657;0;7;.000;60;84;.710;26;38;.679;39;83;122;24;12;16;22;55;145
